"","x"
"1","ALABAMA"
"2","ALASKA"
"3","ARIZONA"
"4","ARKANSAS"
"5","CALIFORNIA"
"6","COLORADO"
"7","CONNECTICUT"
"8","DELAWARE"
"9","FLORIDA"
"10","GEORGIA"
"11","HAWAII"
"12","IDAHO"
"13","ILLINOIS"
"14","INDIANA"
"15","IOWA"
"16","KANSAS"
"17","KENTUCKY"
"18","LOUISIANA"
"19","MAINE"
"20","MARYLAND"
"21","MASSACHUSETTS"
"22","MICHIGAN"
"23","MINNESOTA"
"24","MISSISSIPPI"
"25","MISSOURI"
"26","MONTANA"
"27","NEBRASKA"
"28","NEVADA"
"29","NEW HAMPSHIRE"
"30","NEW JERSEY"
"31","NEW MEXICO"
"32","NEW YORK"
"33","NORTH CAROLINA"
"34","NORTH DAKOTA"
"35","OHIO"
"36","OKLAHOMA"
"37","OREGON"
"38","PENNSYLVANIA"
"39","RHODE ISLAND"
"40","SOUTH CAROLINA"
"41","SOUTH DAKOTA"
"42","TENNESSEE"
"43","TEXAS"
"44","UTAH"
"45","VERMONT"
"46","VIRGINIA"
"47","WASHINGTON"
"48","WEST VIRGINIA"
"49","WISCONSIN"
"50","WYOMING"
"51","alabama"
"52","alaska"
"53","arizona"
"54","arkansas"
"55","california"
"56","colorado"
"57","connecticut"
"58","delaware"
"59","florida"
"60","georgia"
"61","hawaii"
"62","idaho"
"63","illinois"
"64","indiana"
"65","iowa"
"66","kansas"
"67","kentucky"
"68","louisiana"
"69","maine"
"70","maryland"
"71","massachusetts"
"72","michigan"
"73","minnesota"
"74","mississippi"
"75","missouri"
"76","montana"
"77","nebraska"
"78","nevada"
"79","new hampshire"
"80","new jersey"
"81","new mexico"
"82","new york"
"83","north carolina"
"84","north dakota"
"85","ohio"
"86","oklahoma"
"87","oregon"
"88","pennsylvania"
"89","rhode island"
"90","south carolina"
"91","south dakota"
"92","tennessee"
"93","texas"
"94","utah"
"95","vermont"
"96","virginia"
"97","washington"
"98","west virginia"
"99","wisconsin"
"100","wyoming"
